round_epochs,val_loss,val_acc,loss,acc,batch_size,epochs,dropout,optimizer,loss,activation,last_activation
25,0.5003120328517671,0.6099290788596403,0.5000833027933272,0.5613496932515337,8,25,0.2,SGD,hinge,elu,sigmoid
25,0.2900281404244139,0.9219858156028369,0.00821960301915515,1.0,8,25,0.2,SGD,binary_crossentropy,elu,softmax
50,0.2974459857594037,0.9148936174440045,0.003941876623790963,1.0,16,50,0.1,SGD,binary_crossentropy,elu,softmax
50,0.5492128476183465,0.9219858156028369,0.5375004717908753,0.9325153374233128,8,50,0.2,SGD,hinge,relu,softmax
25,0.27616256327493816,0.9290780146071251,0.0032231072462063875,0.9984662576687117,32,25,0.1,RMSprop,binary_crossentropy,relu,sigmoid
25,0.5,0.39007092452218345,0.5,0.4662576687116564,16,25,0.2,RMSprop,hinge,relu,sigmoid
25,0.5004303632898534,0.6099290782255484,0.5001548035013164,0.5521472396294763,16,25,0.1,SGD,hinge,elu,sigmoid
50,0.24607160910699807,0.9219858156028369,0.009717568959412308,1.0,8,50,0.2,SGD,binary_crossentropy,relu,sigmoid
25,6.252930167718982,0.6099290782255484,6.971002066793617,0.5521472396294763,16,25,0.1,RMSprop,binary_crossentropy,elu,softmax
25,0.5007621844609579,0.6666666675121227,0.5004267067265656,0.6165644175435868,32,25,0.2,SGD,hinge,relu,sigmoid
25,6.252930167718982,0.6099290782255484,6.983200655393074,0.5521472396294763,16,25,0.2,Adam,binary_crossentropy,elu,sigmoid
25,0.2747821370337872,0.9078014188624443,0.03159558139398603,1.0,16,25,0.2,SGD,binary_crossentropy,elu,softmax
